classids;subjectid;teacherids;classroomids;day;period
331;CA1048_OT;274;;3;2
331;CA1048_OT;274;;3;3
331;CA1048_OT;274;;3;4
331;CA1048_OT;274;;3;5
300;UET1026_TP;478;70;0;12
300;UET1026_TP;478;70;0;13
300;UET1026_TP;478;70;4;1
300;UET1026_TP;478;70;4;2
300;UET1026_TP;478;70;4;3
300;UET1026_TP;478;70;4;4
300;UET1026_OT;478;70;0;14
300;UET1026_OT;478;70;0;15
300;UET1028_OT;323;77;0;6
300;UET1028_OT;323;77;0;7
300;UET1028_TP;323;77;1;5
300;UET1028_TP;323;77;1;6
300;UET1028_TP;323;77;1;7
300;UET1028_TP;323;77;1;8
300;UET1028_TP;323;77;0;8
300;UET1028_TP;323;77;0;9
300;UET1030_OT;323;72;3;1
300;UET1030_OT;323;72;3;2
300;UET1030_TP;323;72;3;3
300;UET1030_TP;323;72;3;4
300;UET1030_TP;323;72;2;5
300;UET1030_TP;323;72;2;6
300;UET1030_TP;323;72;2;7
300;UET1030_TP;323;72;2;8
294;MF1003_OT;258;58;1;11
294;MF1003_OT;258;58;1;12
294;MF1003_OT;258;58;1;13
294;MF1003_OT;258;58;1;14
294;MF1003_TP;258;56;3;6
294;MF1003_TP;258;56;3;7
294;MF1003_TP;258;56;3;8
294;MF1003_TP;258;56;3;9
294;MF1003_TP;258;56;2;15
294;MF1003_TP;258;56;2;16
294;MF1003_TP;258;56;2;17
294;MF1003_TP;258;56;2;18
317,294,331;ULC1147_OT;253;85;2;5
317,294,331;ULC1147_OT;253;85;2;6
317,294,331;ULC1147_OT;253;85;2;7
317,294,331;ULC1147_OT;253;85;2;8
317,294,331;ULC1147_P;253;87;1;5
317,294,331;ULC1147_P;253;87;1;6
317,294,331;ULC1147_P;253;87;1;7
317,294,331;ULC1147_P;253;87;1;8
317,331,294;ULC1150_OT;739;57;1;5
317,331,294;ULC1150_OT;739;57;1;6
317,331,294;ULC1150_OT;739;57;1;7
317,331,294;ULC1150_OT;739;57;1;8
317,294,331;ULC1150_P;739;56;2;5
317,294,331;ULC1150_P;739;56;2;6
317,294,331;ULC1150_P;739;56;2;7
317,294,331;ULC1150_P;739;56;2;8
295;G1035_OT;488;87;0;2
295;G1035_OT;488;87;0;3
295;G1035_OT;488;87;0;4
295;G1035_OT;488;87;0;5
295;G1035_TP;488;87;3;12
295;G1035_TP;488;87;3;13
295;G1035_TP;488;87;3;14
295;G1035_TP;488;87;3;15
295;G1035_TP;488;87;3;16
295;G1035_TP;488;87;3;17
296;CA1020_OT;405;54;1;11
296;CA1020_OT;405;54;1;12
296;CA1020_OT;405;54;1;13
296;CA1020_OT;405;54;1;14
296;CA1020_TP;405;54;0;12
296;CA1020_TP;405;54;0;13
296;CA1020_TP;405;54;0;14
296;CA1020_TP;405;54;0;15
296;CA1020_TP;405;54;0;16
296;CA1020_TP;405;54;0;17
296;CA1050_OT;303;53;4;1
296;CA1050_OT;303;53;4;2
296;CA1050_OT;303;53;4;3
296;CA1050_OT;303;53;4;4
296;CA1050_TP;303;54;3;15
296;CA1050_TP;303;54;3;16
296;CA1050_TP;303;54;3;17
296;CA1050_TP;303;54;3;18
296;CA1050_TP;303;54;3;19
296;CA1050_TP;303;54;3;20
301;UET1013_OT;426;77;0;20
301;UET1013_OT;426;77;0;21
301;UET1013_TP;426;77;2;17
301;UET1013_TP;426;77;2;18
301;UET1013_TP;426;77;2;19
301;UET1013_TP;426;77;2;20
301;UET1016_P;426;72;4;5
301;UET1016_P;426;72;4;6
301;UET1016_P;426;72;4;7
301;UET1016_P;426;72;4;8
301;UET1016_OT;426;72;0;18
301;UET1016_OT;426;72;0;19
301;UET1016_TP;426;72;0;16
301;UET1016_TP;426;72;0;17
301;UET1017_OT;216;77;2;15
301;UET1017_OT;216;77;2;16
301;UET1017_P;216;77;2;11
301;UET1017_P;216;77;2;12
301;UET1017_TP;216;77;2;13
301;UET1017_TP;216;77;2;14
301;UET1018_OT;447;77;0;14
301;UET1018_OT;447;77;0;15
301;UET1018_T;447;77;0;12
301;UET1018_T;447;77;0;13
301;UET1018_TP;447;80;1;5
301;UET1018_TP;447;80;1;6
301;UET1018_TP;447;80;1;7
301;UET1018_TP;447;80;1;8
302;UET1002_OT;447;78;0;18
302;UET1002_OT;447;78;0;19
302;UET1002_P;447;79;4;6
302;UET1002_P;447;79;4;7
302;UET1002_P;447;79;4;8
302;UET1002_P;447;79;4;9
302;UET1002_TP;447;78;0;20
302;UET1002_TP;447;78;0;21
302;UET1005_OT;447;71;1;17
302;UET1005_OT;447;71;1;18
302;UET1005_P;447;71;3;4
302;UET1005_P;447;71;3;5
302;UET1005_P;447;71;3;6
302;UET1005_P;447;71;3;7
302;UET1005_TP;447;71;1;15
302;UET1005_TP;447;71;1;16
302;UET1006_P;463;126;2;11
302;UET1006_P;463;126;2;12
302;UET1006_P;463;126;2;13
302;UET1006_P;463;126;2;14
302;UET1006_TP;463;126;2;15
302;UET1006_TP;463;126;2;16
302;UET1008_P;127;79;4;3
302;UET1008_P;127;79;4;4
302;UET1008_TP;127;79;3;1
302;UET1008_TP;127;79;3;2
302;UET1008_TP;127;79;3;3
302;UET1008_TP;127;79;4;5
303;EA1007_OT;258;83;4;6
303;EA1007_OT;258;83;4;7
303;EA1007_T;258;83;4;8
303;EA1007_T;258;83;4;9
303;EA1007_TP;258;81;1;6
303;EA1007_TP;258;81;1;7
303;EA1007_TP;258;81;1;8
303;EA1007_TP;258;81;1;9
303;EA1007_TP;258;83;2;6
303;EA1007_TP;258;83;2;7
303;EA1007_TP;258;83;2;8
303;EA1007_TP;258;83;2;9
303;UET1130_L;95;78;3;8
303;UET1130_L;95;78;3;9
303;UET1130_T;95;78;3;5
303;UET1130_T;95;78;3;6
303;UET1130_TP;95;79;1;13
303;UET1130_TP;95;79;1;14
303;UET1130_TP;95;79;1;15
303;UET1130_TP;95;79;1;16
303;ET1022_TP;195;85;2;12
303;ET1022_TP;195;85;2;13
303;ET1022_TP;195;85;2;14
303;ET1022_TP;195;85;2;15
303;EA1022_T;195;90;3;12
303;EA1022_T;195;85;2;16
303;ET1022_TP;195;90;3;13
303;ET1022_TP;195;90;3;14
303;ET1022_TP;195;90;3;15
303;ET1022_TP;195;90;3;16
