classids;subjectid;periodsperweek;teacherids
331;CA1048_OT;4.0;274
300;UET1026_TP;2.0;478
300;UET1026_TP;4.0;478
300;UET1026_OT;2.0;478
300;UET1028_OT;2.0;323
300;UET1028_TP;4.0;323
300;UET1028_TP;2.0;323
300;UET1030_OT;2.0;323
300;UET1030_TP;2.0;323
300;UET1030_TP;4.0;323
294;MF1003_OT;4.0;258
294;MF1003_TP;8.0;258
317,294,331;ULC1147_OT;4.0;253
317,294,331;ULC1147_P;4.0;253
317,331,294;ULC1150_OT;4.0;739
317,294,331;ULC1150_P;4.0;739
295;G1035_OT;4.0;488
295;G1035_TP;6.0;488
296;CA1020_OT;4.0;405
296;CA1020_TP;6.0;405
296;CA1050_OT;4.0;303
296;CA1050_TP;6.0;303
301;UET1013_OT;2.0;426
301;UET1013_TP;4.0;426
301;UET1016_P;4.0;426
301;UET1016_OT;2.0;426
301;UET1016_TP;2.0;426
301;UET1017_OT;2.0;216
301;UET1017_P;2.0;216
301;UET1017_TP;2.0;216
301;UET1018_OT;2.0;447
301;UET1018_T;2.0;447
301;UET1018_TP;4.0;447
302;UET1002_OT;2.0;447
302;UET1002_P;4.0;447
302;UET1002_TP;2.0;447
302;UET1005_OT;2.0;447
302;UET1005_P;4.0;447
302;UET1005_TP;2.0;447
302;UET1006_P;4.0;463
302;UET1006_TP;2.0;463
302;UET1008_P;2.0;127
302;UET1008_TP;3.0;127
302;UET1008_TP;1.0;127
303;EA1007_OT;2.0;258
303;EA1007_T;2.0;258
303;EA1007_TP;8.0;258
303;UET1130_L;2.0;95
303;UET1130_T;2.0;95
303;UET1130_TP;4.0;95
303;ET1022_TP;4.0;195
303;EA1022_T;2.0;195
303;ET1022_TP;4.0;195
304;EC1116_T;2.0;92
304;EC1116_TC;1.0;92
304;EC1116_TP;4.0;92
304;EC1120_L;2.0;200
304;EC1120_T;4.0;200
304;EC1120_TP;2.0;200
304;EM1029_OT;2.0;296
304;EM1029_T;2.0;296
304;EM1029_TP;2.0;296
304;UET1123_L;2.0;216
304;UET1123_T;2.0;216
304;UET1123_TP;4.0;216
304;UET1124_L;2.0;257
304;UET1124_T;2.0;257
304;UET1124_TP;4.0;257
304;UET1125_OT;2.0;693
304;UET1125_T;4.0;693
304;UET1125_TP;2.0;693
305;EC1131_L;4.0;204
305;EC1131_T;4.0;200
305;EC1195_OT;2.0;693
305;EC1195_T;2.0;693
305;EC1195_TP;6.0;693
305;UET1115_OT;2.0;296
305;UET1115_T;4.0;296
305;UET1115_TP;4.0;296
305;UET1116_P;2.0;127
305;UET1116_T;2.0;127
305;UET1116_TP;4.0;127
305;UET1117_T;2.0;257
305;UET1117_TP;4.0;257
305;UET1114_OT;2.0;465
305;UET1114_P;4.0;465
305;UET1114_T;2.0;465
305;UET1114_TP;2.0;465
308;EC1163_OT;2.0;427
308;EC1163_TP;4.0;427
308;MF1014_OT;4.0;258
308;MF1014_T;2.0;258
308;MF1014_TP;4.0;258
308;UCEE1019_OT;2.0;87
308;UCEE1019_T;2.0;87
308;UCEE1019_TP;4.0;87
308;UET1105_T;4.0;548
308;UET1105_TP;4.0;548
309;EC1168_TP;4.0;290
309;EC1169_L;1.0;370
309;EC1169_OT;1.0;370
309;EC1169_T;2.0;370
309;EC1170_L;2.0;204
309;EC1170_OT;1.0;204
309;EC1170_T;2.0;204
309;EC1170_TC;1.0;204
309;EC1170_TP;4.0;204
309;UET1101_OT;2.0;548
309;UET1101_T;4.0;548
309;UET1101_TP;4.0;548
309;UET1102_OT;1.0;290
309;UET1102_T;5.0;290
310;EC1174_P;1.0;501
310;EC1174_OT;1.0;501
310;EC1174_T;2.0;501
310;EC1180_OT;2.0;370
310;EC1180_T;2.0;370
310;EC1180_TP;6.0;370
310;EC1181_P;1.0;548
310;EC1181_TP;3.0;548
310;EC1181_TP;2.0;548
310;EC1182_OT;1.0;92
310;EC1182_T;2.0;92
310;EC1183_L;1.0;92
310;EC1183_OT;2.0;92
310;EC1183_TP;1.0;92
267;MF1007_OT;2.0;301
267;MF1007_T;2.0;301
267;MF1007_TP;8.0;301
267;UCEE1022_OT;2.0;480
267;UCEE1022_TP;8.0;480
268;MF1007_OT;2.0;301
268;MF1007_T;2.0;301
268;MF1007_TP;8.0;301
268;UCEE1022_OT;2.0;480
268;UCEE1022_TP;8.0;480
269;INF1035_OT;2.0;704
269;INF1035_P;4.0;704
269;INF1035_T;2.0;704
269;INF1056_OT;4.0;415
269;INF1056_TP;6.0;415
269;INF1058_OT;2.0;514
269;MF1045_TP;8.0;276
269,270;INF1007_OT;4.0;256
269;INF1017_TP;4.0;256
270;INF1035_OT;2.0;704
270;INF1035_P;4.0;704
270;INF1035_T;2.0;704
270;INF1056_OT;4.0;415
270;INF1056_TP;6.0;415
270;INF1058_OT;2.0;514
270;MF1045_TP;8.0;276
270;INF1017_OT;2.0;256
270;INF1017_TP;2.0;256
271,272;INF1016_OT;2.0;382
271,272;INF1016_P;4.0;382
271,272;INF1016_T;2.0;382
271;UINF1071_OT;4.0;491
271;INF1012_OT;4.0;329
272;INF1012_OT;4.0;329
272;UINF1071_OT;4.0;491
272;INF1060_P;4.0;278
326;CSH1005_OT;2.0;384
326;CSH1005_TP;4.0;384
326;CSH1005_TP;2.0;384
326;CSH1054_OT;2.0;372
326;CSH1054_TP;8.0;372
326;CSH1058_OT;2.0;895
326;CSH1058_TP;2.0;895
326;CSH1058_TP;4.0;895
326;MF1023_OT;4.0;195
326;MF1023_TP;8.0;195
327;CSH1039_OT;1.0;384
327;CSH1057_OT;2.0;373
327;CSH1057_TP;2.0;373
327;CSH1057_TP;4.0;373
327;GRH1048_OT;2.0;562
327;GRH1171_OT;4.0;488
327;GRH1171_TP;4.0;488
327;CSH1039_TP;3.0;384
327;CSH1039_TP;2.0;384
328;G1182_OT;2.0;104
328;G1182_TP;4.0;104
328;G1182_TP;2.0;104
328;G1183_OT;2.0;447
328;G1183_TP;2.0;447
328;G1183_TP;4.0;447
328;G1185_OT;1.0;296
328;G1185_TP;4.0;296
328;G1185_TP;3.0;296
328;G1186_OT;2.0;485
328;G1186_TP;4.0;485
328;G1186_TP;2.0;485
317;G1167_TP;3.0;268
317;INF1111_OT;4.0;514
317;INF1111_P;4.0;514
317;MF1021_OT;4.0;506
317;MF1021_OT;4.0;506
317;MF1021_TP;8.0;506
317;MF1021_TP;8.0;506
318;CA1054_OT;4.0;456
318;CA1054_TP;8.0;456
318;G1168_OT;2.0;485
318;G1168_TP;2.0;485
318;G1168_TP;4.0;485
318;G1169_OT;4.0;383
318;G1169_TP;6.0;383
318;MF1048_OT;4.0;276
318;MF1048_TP;6.0;276
316;G1171_OT;4.0;28
316;G1171_TP;4.0;28
316;G1172_TP;4.0;674
316;UGE1018_OT;4.0;376
316;UGE1018_TP;4.0;376
332;G1055_OT;4.0;471
332;G1055_TP;6.0;471
332;G1133_OT;4.0;383
332;G1133_P;4.0;383
332;G1133_TP;4.0;383
333;G1059_OT;2.0;471
333;G1059_P;2.0;471
333;G1059_TP;4.0;471
333;G1090_OT;4.0;104
333;G1090_TP;4.0;104
333;G1137_OT;4.0;471
333;G1137_TP;4.0;471
333;INF1018_OT;4.0;704
451;UET1081_TP;3.0;426
451;UET1081_TP;3.0;279
451;UET1084_TP;5.0;426
451;UET1084_TP;5.0;279
451;UET1086_TP;8.0;323
451;UET1095_TP;8.0;279
443;UCSC1001_TP;8.0;612
443;UCSC1002_TP;8.0;612
443;UGE1091_TP;8.0;511
308;MF1049_OT;1.0;381
308;MF1049_P;1.0;381
308;MF1049_T;2.0;381
308;MF1049_TP;4.0;381
302;UET1006_OT;2.0;463
308;MF1042_TP;6.0;195
308;MF1042_OT;2.0;195
308;MF1014_TP;2.0;258
308;MF1042_T;2.0;195
310;EC1176_OT;2.0;769
310;EC1176_T;4.0;769
310;EC1176_TP;4.0;769
267;UCEE1022_T;2.0;480
268;UCEE1022_T;2.0;480
271,272;CSH1044_OT;2.0;372
271,272;CSH1044_TP;4.0;372
327;GRH1048_TP;8.0;562
333;INF1018_TP;4.0;704
333;INF1018_TP;2.0;704
271,272;INF1060_T;2.0;278
271,272;INF1060_OT;4.0;278
271;INF1060_P;4.0;278
271,272;INF1012_TP;6.0;329
271;UINF1071_TP;6.0;491
272;UINF1071_TP;6.0;491
311;ET1022_T;2.0;205
311;ET1022_TP;4.0;205
311;ET1022_TP;4.0;205
311;MF1041_T;2.0;505
311;MF1041_TP;2.0;505
311;MF1041_TP;4.0;505
311;UET1148_TP;6.0;433
311;UET1149_P;2.0;432
311;UET1149_TP;3.0;432
311;UET1149_TP;1.0;432
311;EC1138_TP;4.0;200
311;UET1148_P;4.0;433
312;EC1150_P;6.0;464
