id;name;short
CSH1005_OT;CSH1005(OT) - Direito das Empresas;DdE(OT)
CSH1005_TP;CSH1005(TP) - Direito das Empresas;DdE(TP)
CSH1006_OT;CSH1006(OT) - Economia das Empresas;EdE(OT)
CSH1006_TP;CSH1006(TP) - Economia das Empresas;EdE(TP)
CSH1015_OT;CSH1015(OT) - Direito de Empresa e Laboral;D(OT)
CSH1015_TP;CSH1015(TP) - Direito de Empresa e Laboral;D(TP)
CSH1021_OT;CSH1021(OT) - Introdução Ao Direito de Empresa;IAD(OT)
CSH1021_TP;CSH1021(TP) - Introdução Ao Direito de Empresa;IAD(TP)
CSH1039_OT;CSH1039(OT) - Direito do Trabalho e da Proteção Social;DPS(OT)
CSH1039_TP;CSH1039(TP) - Direito do Trabalho e da Proteção Social;DPS(TP)
CSH1044_TC;CSH1044(TC) - Gestão e Criação de Empresas;G(TC)
CSH1044_S;CSH1044(S) - Gestão e Criação de Empresas;G(S)
CSH1044_OT;CSH1044(OT) - Gestão e Criação de Empresas;G(OT)
CSH1044_TP;CSH1044(TP) - Gestão e Criação de Empresas;G(TP)
CSH1045_OT;CSH1045(OT) - Fundamentos de Economia I;FI(OT)
CSH1045_TP;CSH1045(TP) - Fundamentos de Economia I;FI(TP)
CSH1046_OT;CSH1046(OT) - Fundamentos de Economia II;FI(OT)
CSH1046_TP;CSH1046(TP) - Fundamentos de Economia II;FI(TP)
CSH1047_OT;CSH1047(OT) - Teoria Geral do Direito e das Obrigações;TGO(OT)
CSH1047_TP;CSH1047(TP) - Teoria Geral do Direito e das Obrigações;TGO(TP)
MF1003_OT;MF1003(OT) - Matemática P/ Ciências Sociais;MPCS(OT)
MF1003_TP;MF1003(TP) - Matemática P/ Ciências Sociais;MPCS(TP)
MF1007_OT;MF1007(OT) - Análise Matemática;AM(OT)
MF1007_TP;MF1007(TP) - Análise Matemática;AM(TP)
MF1007_T;MF1007(T) - Análise Matemática;AM(T)
MF1008_OT;MF1008(OT) - Introdução à Física;IàF(OT)
MF1008_P;MF1008(P) - Introdução à Física;IàF(P)
MF1008_TP;MF1008(TP) - Introdução à Física;IàF(TP)
MF1008_T;MF1008(T) - Introdução à Física;IàF(T)
MF1009_TP;MF1009(TP) - Métodos Numéricos e Estatísticos;MN(TP)
MF1009_T;MF1009(T) - Métodos Numéricos e Estatísticos;MN(T)
MF1011_OT;MF1011(OT) - Estatística Aplicada;EA(OT)
MF1011_TP;MF1011(TP) - Estatística Aplicada;EA(TP)
MF1014_OT;MF1014(OT) - Cálculo I;CI(OT)
MF1014_TP;MF1014(TP) - Cálculo I;CI(TP)
MF1014_T;MF1014(T) - Cálculo I;CI(T)
MF1015_OT;MF1015(OT) - Cálculo II;CI(OT)
MF1015_TP;MF1015(TP) - Cálculo II;CI(TP)
MF1015_T;MF1015(T) - Cálculo II;CI(T)
MF1016_OT;MF1016(OT) - Fundamentos de Física;F(OT)
MF1016_P;MF1016(P) - Fundamentos de Física;F(P)
MF1016_TP;MF1016(TP) - Fundamentos de Física;F(TP)
MF1016_T;MF1016(T) - Fundamentos de Física;F(T)
MF1018_OT;MF1018(OT) - Análise de Dados;A(OT)
MF1018_TP;MF1018(TP) - Análise de Dados;A(TP)
MF1021_OT;MF1021(OT) - Matemática I;MI(OT)
MF1021_TP;MF1021(TP) - Matemática I;MI(TP)
MF1022_OT;MF1022(OT) - Matemática II;MI(OT)
MF1022_TP;MF1022(TP) - Matemática II;MI(TP)
MF1023_OT;MF1023(OT) - Matemática para as Ciências Sociais;MpaCS(OT)
MF1023_TP;MF1023(TP) - Matemática para as Ciências Sociais;MpaCS(TP)
G1003_OT;G1003(OT) - Gestão de Recursos Humanos;GH(OT)
G1003_TP;G1003(TP) - Gestão de Recursos Humanos;GH(TP)
G1008_OT;G1008(OT) - Gestão da Distribuição;G(OT)
G1008_TP;G1008(TP) - Gestão da Distribuição;G(TP)
G1013_OT;G1013(OT) - Gestão de Vendas;G(OT)
G1013_TP;G1013(TP) - Gestão de Vendas;G(TP)
G1019_OT;G1019(OT) - Organização e Gestão;O(OT)
G1019_TP;G1019(TP) - Organização e Gestão;O(TP)
G1035_OT;G1035(OT) - Matemática Financeira;MF(OT)
G1035_TP;G1035(TP) - Matemática Financeira;MF(TP)
G1055_OT;G1055(OT) - Comportamento do Consumidor;C(OT)
G1055_TP;G1055(TP) - Comportamento do Consumidor;C(TP)
G1059_TC;G1059(TC) - Gestão do Produto e Marcas;G(TC)
G1059_S;G1059(S) - Gestão do Produto e Marcas;G(S)
G1059_P;G1059(P) - Gestão do Produto e Marcas;G(P)
G1059_OT;G1059(OT) - Gestão do Produto e Marcas;G(OT)
G1059_TP;G1059(TP) - Gestão do Produto e Marcas;G(TP)
G1067_OT;G1067(OT) - Introdução Ao Marketing;IAM(OT)
G1067_TP;G1067(TP) - Introdução Ao Marketing;IAM(TP)
G1082_TC;G1082(TC) - Estágio/Projeto;E(TC)
G1082_E;G1082(E) - Estágio/Projeto;E(E)
G1082_OT;G1082(OT) - Estágio/Projeto;E(OT)
G1087_OT;G1087(OT) - Fundamentos de Contabilidade de Gestão;F(OT)
G1087_TP;G1087(TP) - Fundamentos de Contabilidade de Gestão;F(TP)
G1090_TC;G1090(TC) - E-Marketing;E(TC)
G1090_P;G1090(P) - E-Marketing;E(P)
G1090_OT;G1090(OT) - E-Marketing;E(OT)
G1090_TP;G1090(TP) - E-Marketing;E(TP)
G1092_OT;G1092(OT) - Gestão Empresarial;GE(OT)
G1092_TP;G1092(TP) - Gestão Empresarial;GE(TP)
G1093_OT;G1093(OT) - Normalização Contabilística;NC(OT)
G1093_TP;G1093(TP) - Normalização Contabilística;NC(TP)
INF1001_TC;INF1001(TC) - Arquitetura de Computadores;A(TC)
INF1001_OT;INF1001(OT) - Arquitetura de Computadores;A(OT)
INF1001_TP;INF1001(TP) - Arquitetura de Computadores;A(TP)
INF1001_T;INF1001(T) - Arquitetura de Computadores;A(T)
INF1003_TC;INF1003(TC) - Sistemas Digitais I;SDI(TC)
INF1003_OT;INF1003(OT) - Sistemas Digitais I;SDI(OT)
INF1003_TP;INF1003(TP) - Sistemas Digitais I;SDI(TP)
INF1004_OT;INF1004(OT) - Engenharia de Software I;EI(OT)
INF1004_TP;INF1004(TP) - Engenharia de Software I;EI(TP)
INF1004_TC;INF1004(TC) - Engenharia de Software I;EI(TC)
INF1007_TC;INF1007(TC) - Sistemas Digitais II;SDI(TC)
INF1007_OT;INF1007(OT) - Sistemas Digitais II;SDI(OT)
INF1007_TP;INF1007(TP) - Sistemas Digitais II;SDI(TP)
INF1012_TC;INF1012(TC) - Engenharia  de Software II;ESI(TC)
INF1012_OT;INF1012(OT) - Engenharia  de Software II;ESI(OT)
INF1012_TP;INF1012(TP) - Engenharia  de Software II;ESI(TP)
INF1013_TC;INF1013(TC) - Redes de Computadores;R(TC)
INF1013_P;INF1013(P) - Redes de Computadores;R(P)
INF1013_TP;INF1013(TP) - Redes de Computadores;R(TP)
INF1014_OT;INF1014(OT) - Sistemas Operativos;SO(OT)
INF1014_P;INF1014(P) - Sistemas Operativos;SO(P)
INF1014_T;INF1014(T) - Sistemas Operativos;SO(T)
INF1016_OT;INF1016(OT) - Engenharia de Redes;E(OT)
INF1016_P;INF1016(P) - Engenharia de Redes;E(P)
INF1016_T;INF1016(T) - Engenharia de Redes;E(T)
INF1017_TC;INF1017(TC) - Controlo Industrial;CI(TC)
INF1017_OT;INF1017(OT) - Controlo Industrial;CI(OT)
INF1017_TP;INF1017(TP) - Controlo Industrial;CI(TP)
INF1018_OT;INF1018(OT) - Multimédia;M(OT)
INF1018_TP;INF1018(TP) - Multimédia;M(TP)
INF1020_TC;INF1020(TC) - Inteligência Artificial;IA(TC)
INF1020_OT;INF1020(OT) - Inteligência Artificial;IA(OT)
INF1020_TP;INF1020(TP) - Inteligência Artificial;IA(TP)
INF1020_T;INF1020(T) - Inteligência Artificial;IA(T)
INF1024_OT;INF1024(OT) - Sistemas Distribuídos;SD(OT)
INF1024_P;INF1024(P) - Sistemas Distribuídos;SD(P)
INF1024_TP;INF1024(TP) - Sistemas Distribuídos;SD(TP)
INF1024_TC;INF1024(TC) - Sistemas Distribuídos;SD(TC)
INF1034_S;INF1034(S) - Gestão Integrada de Projetos;GI(S)
INF1034_OT;INF1034(OT) - Gestão Integrada de Projetos;GI(OT)
INF1034_TP;INF1034(TP) - Gestão Integrada de Projetos;GI(TP)
INF1035_TC;INF1035(TC) - Sistemas Multimédia;SM(TC)
INF1035_OT;INF1035(OT) - Sistemas Multimédia;SM(OT)
INF1035_P;INF1035(P) - Sistemas Multimédia;SM(P)
INF1035_TP;INF1035(TP) - Sistemas Multimédia;SM(TP)
INF1035_T;INF1035(T) - Sistemas Multimédia;SM(T)
INF1052_TC;INF1052(TC) - Algoritmos e Estruturas de Dados;A(TC)
INF1052_OT;INF1052(OT) - Algoritmos e Estruturas de Dados;A(OT)
INF1052_TP;INF1052(TP) - Algoritmos e Estruturas de Dados;A(TP)
INF1056_OT;INF1056(OT) - Bases de Dados I;BI(OT)
INF1056_TP;INF1056(TP) - Bases de Dados I;BI(TP)
INF1058_TC;INF1058(TC) - Aspetos Sociais da Informática;AS(TC)
INF1058_S;INF1058(S) - Aspetos Sociais da Informática;AS(S)
INF1058_OT;INF1058(OT) - Aspetos Sociais da Informática;AS(OT)
INF1060_S;INF1060(S) - Computação Gráfica;CG(S)
INF1060_OT;INF1060(OT) - Computação Gráfica;CG(OT)
INF1060_P;INF1060(P) - Computação Gráfica;CG(P)
INF1060_T;INF1060(T) - Computação Gráfica;CG(T)
INF1062_OT;INF1062(OT) - Bases de Dados II;BI(OT)
INF1062_TP;INF1062(TP) - Bases de Dados II;BI(TP)
INF1063_OT;INF1063(OT) - Programação;P(OT)
INF1063_L;INF1063(L) - Programação;P(L)
INF1063_TP;INF1063(TP) - Programação;P(TP)
INF1070_OT;INF1070(OT) - Fundamentos de Informática;F(OT)
INF1070_P;INF1070(P) - Fundamentos de Informática;F(P)
INF1080_OT;INF1080(OT) - Modelação 3d e Animação;M3(OT)
INF1080_TP;INF1080(TP) - Modelação 3d e Animação;M3(TP)
INF1080_TC;INF1080(TC) - Modelação 3d e Animação;M3(TC)
INF1096_S;INF1096(S) - Computação Ubíqua;CU(S)
INF1096_OT;INF1096(OT) - Computação Ubíqua;CU(OT)
INF1096_TP;INF1096(TP) - Computação Ubíqua;CU(TP)
INF1097_S;INF1097(S) - Sistemas Distribuídos Móveis;SDM(S)
INF1097_OT;INF1097(OT) - Sistemas Distribuídos Móveis;SDM(OT)
INF1097_TP;INF1097(TP) - Sistemas Distribuídos Móveis;SDM(TP)
INF1098_S;INF1098(S) - Seminário I;SI(S)
INF1100_S;INF1100(S) - Sistemas Embebidos;SE(S)
INF1100_OT;INF1100(OT) - Sistemas Embebidos;SE(OT)
INF1100_L;INF1100(L) - Sistemas Embebidos;SE(L)
INF1100_P;INF1100(P) - Sistemas Embebidos;SE(P)
INF1100_TP;INF1100(TP) - Sistemas Embebidos;SE(TP)
INF1101_OT;INF1101(OT) - Redes e Serviços de Comunicações Móveis;RM(OT)
INF1101_P;INF1101(P) - Redes e Serviços de Comunicações Móveis;RM(P)
INF1101_TP;INF1101(TP) - Redes e Serviços de Comunicações Móveis;RM(TP)
INF1102_TC;INF1102(TC) - Projeto Aplicado;PA(TC)
INF1102_OT;INF1102(OT) - Projeto Aplicado;PA(OT)
INF1102_P;INF1102(P) - Projeto Aplicado;PA(P)
INF1103_E;INF1103(E) - Estágio Profissionalizante;EP(E)
INF1103_OT;INF1103(OT) - Estágio Profissionalizante;EP(OT)
INF1103_P;INF1103(P) - Estágio Profissionalizante;EP(P)
INF1104_S;INF1104(S) - Bases de Dados Avançadas;BA(S)
INF1104_OT;INF1104(OT) - Bases de Dados Avançadas;BA(OT)
INF1104_TP;INF1104(TP) - Bases de Dados Avançadas;BA(TP)
INF1105_S;INF1105(S) - Metodologias de Software Para Computação Ubíqua;MPCU(S)
INF1105_OT;INF1105(OT) - Metodologias de Software Para Computação Ubíqua;MPCU(OT)
INF1105_TP;INF1105(TP) - Metodologias de Software Para Computação Ubíqua;MPCU(TP)
INF1106_S;INF1106(S) - Mobilidade em Redes Ip;MeRI(S)
INF1106_OT;INF1106(OT) - Mobilidade em Redes Ip;MeRI(OT)
INF1106_TP;INF1106(TP) - Mobilidade em Redes Ip;MeRI(TP)
INF1107_S;INF1107(S) - Interacção Humano-Computador em Ambientes Ubíquos;IHeAU(S)
INF1107_OT;INF1107(OT) - Interacção Humano-Computador em Ambientes Ubíquos;IHeAU(OT)
INF1107_TP;INF1107(TP) - Interacção Humano-Computador em Ambientes Ubíquos;IHeAU(TP)
INF1108_S;INF1108(S) - Redes de Sensores;R(S)
INF1108_OT;INF1108(OT) - Redes de Sensores;R(OT)
INF1108_P;INF1108(P) - Redes de Sensores;R(P)
INF1108_TP;INF1108(TP) - Redes de Sensores;R(TP)
INF1109_S;INF1109(S) - Desenvolvimento de Jogos Para Dispositivos Móveis;DPDM(S)
INF1109_OT;INF1109(OT) - Desenvolvimento de Jogos Para Dispositivos Móveis;DPDM(OT)
INF1109_TP;INF1109(TP) - Desenvolvimento de Jogos Para Dispositivos Móveis;DPDM(TP)
INF1110_S;INF1110(S) - Sistemas Autónomos;SA(S)
INF1110_OT;INF1110(OT) - Sistemas Autónomos;SA(OT)
INF1110_P;INF1110(P) - Sistemas Autónomos;SA(P)
INF1110_TP;INF1110(TP) - Sistemas Autónomos;SA(TP)
INF1111_OT;INF1111(OT) - Fundamentos de Informática;F(OT)
INF1111_P;INF1111(P) - Fundamentos de Informática;F(P)
INF1112_OT;INF1112(OT) - Tecnologias de Informação;T(OT)
INF1112_P;INF1112(P) - Tecnologias de Informação;T(P)
INF1113_S;INF1113(S) - Programação Avançada para Dispositivos Móveis;PApDM(S)
INF1113_OT;INF1113(OT) - Programação Avançada para Dispositivos Móveis;PApDM(OT)
INF1113_P;INF1113(P) - Programação Avançada para Dispositivos Móveis;PApDM(P)
INF1113_TP;INF1113(TP) - Programação Avançada para Dispositivos Móveis;PApDM(TP)
ULC1025_TP;ULC1025(TP) - Inglês;I(TP)
ULC1025_T;ULC1025(T) - Inglês;I(T)
ULC1031_P;ULC1031(P) - Inglês I;II(P)
ULC1031_OT;ULC1031(OT) - Inglês I;II(OT)
ULC1032_OT;ULC1032(OT) - Inglês II;II(OT)
ULC1032_P;ULC1032(P) - Inglês II;II(P)
ULC1036_P;ULC1036(P) - Francês I;FI(P)
ULC1036_OT;ULC1036(OT) - Francês I;FI(OT)
ULC1037_P;ULC1037(P) - Espanhol I;EI(P)
ULC1037_OT;ULC1037(OT) - Espanhol I;EI(OT)
ULC1041_OT;ULC1041(OT) - Francês II;FI(OT)
ULC1041_P;ULC1041(P) - Francês II;FI(P)
ULC1042_OT;ULC1042(OT) - Espanhol II;EI(OT)
ULC1042_P;ULC1042(P) - Espanhol II;EI(P)
ULC1081_TP;ULC1081(TP) - Língua Estrangeira Aplicada Alemão - Opção C;LEAAC(TP)
ULC1082_OT;ULC1082(OT) - Língua Estrangeira Aplicada Espanhol - Opção C;LEAEC(OT)
